Name,Address,Phone,Lat,Long
Baldwin Community Chapel,"810 W Hurricane Rd, Bay Minette, AL 36507, USA",(251) 937-6817,30.8659893,-87.7855069
Norris Funeral Home,"402 E 2nd St, Bay Minette, AL 36507, USA",(251) 937-9596,30.8841717,-87.77020069999999
Angwin Mortuary Centers,"600 9th Ave N, Bessemer, AL 35020, USA",(205) 428-0900,33.3926936,-86.97406529999999
Bessemer Brown-Service Funeral Home,"1300 4th Ave N, Bessemer, AL 35020, USA",(205) 425-2424,33.3969719,-86.9599787
Brighton Funeral Home Inc,"4400 Bessemer Super Hwy, Brighton, AL 35020, USA",(205) 425-3577,33.433735,-86.940427
Chambers Funeral Home Inc,"2527 9th Ave N, Bessemer, AL 35020, USA",(205) 425-5235,33.4138635,-86.9546045
Johnson Memorial Funeral Directors,"2601 9th Ave N, Bessemer, AL 35020, USA",(205) 425-2414,33.4144116,-86.9540554
R L Lumzy Funeral Service,"1901 1st Ave N, Bessemer, AL 35020, USA",(205) 425-1907,33.4014378,-86.9511045
Abanks Mortuary & Crematory,"808 5th Ave N, Birmingham, AL 35203, USA",(205) 322-9050,33.5105524,-86.8243181
Angwin Mortuary Centers,"3500 Ave I, Birmingham, AL 35218, USA",(205) 781-3631,33.4968271,-86.9028319
Arrington Funeral Home Inc,"520 Cotton Ave SW, Birmingham, AL 35211, USA",(205) 786-6288,33.4995919,-86.8415795
Bell Funeral Home,"2077 Pratt Hwy, Birmingham, AL 35214, USA",(205) 798-2890,33.5729865,-86.9125386
Birmingham Central Services,"2116 University Blvd, Birmingham, AL 35233, USA",(205) 251-5254,33.5060613,-86.7971206
Birmingham Mortuary Service,"US-411, Alabama, USA",(205) 699-8066,34.109702,-85.60316159999999
Bushelon's Funeral Home,"800 14th St S, Birmingham, AL 35205, USA",(205) 786-3449,33.5006758,-86.80737409999999
Davenport & Harris Funeral Homes Inc,"301 Martin Luther King Jr Dr, Birmingham, AL 35211, USA",(205) 252-2103,33.4923322,-86.8391716
DFS Memorials Birmingham,"2885 Allison-Bonnett Memorial Dr, Bessemer, AL 35023, USA",(205) 206-7785,33.453062,-86.96850700000002
Earnest Johnson Funeral Home,"8531 Zion City Rd, Birmingham, AL 35206, USA",(205) 836-3583,33.579728,-86.7375497
Elmwood Cemetery,"600 Martin Luther King Jr Dr, Birmingham, AL 35211, USA",205-251-3114,33.4899755,-86.83961599999999
Grey Memorial Funeral Home,"2512 29th Ave N, Birmingham, AL 35207, USA",(205) 251-1630,33.5508041,-86.8183861
Henderson Funeral Home,"4904 1st Ave N, Birmingham, AL 35222, USA",(205) 595-0887,33.5354511,-86.76201879999999
Jefferson Memorial Funeral Home,"1591 Gadsden Hwy, Birmingham, AL 35235, USA",(205) 322-0544,33.6002683,-86.6400929
Johns-Ridout's Chapels,"1802 Oxmoor Rd, Homewood, AL 35209, USA",205-879-3401,33.4775334,-86.7913603
Johns-Ridout's Mortuary Elmwood Chapel,"800 Dennison Ave SW, Birmingham, AL 35211, USA",(205) 251-7227,33.4810204,-86.8404266
Lakeshore Memorial Chapel,"131 Oxmoor Ct, Birmingham, AL 35209, USA",(205) 942-4441,33.4397434,-86.8445041
Lett Funeral Home,"2145 Bessemer Rd, Birmingham, AL 35208, USA",(205) 788-0079,33.4942767,-86.87953259999999
Parker Chapel Funeral Service,"1900 Ave I, Birmingham, AL 35218, USA",(205) 781-5678,33.5106776,-86.8930816
Poole Funeral Chapel Inc,"1501 7th Ave N, Birmingham, AL 35203, USA",(205) 322-5574,33.5170684,-86.81636979999999
Ridout's Brown-Service Inc,"Lacke Building, Birmingham, Alabama 35203",(205) 322-5613,,
Ridout's Roebuck Chapel,"9012 Parkway E, Birmingham, AL 35206, USA",(205) 833-7171,33.5836776,-86.7067002
Ridout's Valley Chapel,"1800 Oxmoor Rd, Homewood, AL 35209, USA",(205) 879-3401,33.4778003,-86.7915084
Roberts Funeral Home Inc/Central Park Chapel,"1337 Bessemer Rd, Birmingham, AL 35208, USA",(205) 925-5115,33.4801531,-86.8945284
Shortridge Funeral Home,"311 17th St Ensley, Birmingham, AL 35218, USA",(205) 785-3119,33.515623,-86.8973369
Smith & Gaston Funeral Director,"102 6th Ave S, Birmingham, AL 35205, USA",(205) 322-3581,33.4942473,-86.8281299
Southside Chapel,"2116 University Blvd, Birmingham, AL 35233, USA",205-251-5254,33.5060613,-86.7971206
Wren Funeral Home,"2516 Finley Blvd, Birmingham, AL 35234, USA",(205) 250-0994,33.5463206,-86.81621489999999
