Name,Address,Phone
Lathan Funeral Home,"805 Birmingham Road, Centreville, Alabama 35042",(251) 847-2129
Morrison Funeral Homes Inc,"Highway 17 North, Chatom, Alabama 36518",(256) 359-4033
Freeman Funeral Home Inc,"10865 Hwy 72, Cherokee, Alabama 35616",(251) 866-7487
Kent Funeral Home,"19180 Center St, Citronelle, Alabama 36522",(334) 775-3403
White & Sons Funeral Home,"72 S Midway, Clayton, Alabama 36016",(334) 775-8405
Keahey Funeral Home,"24 Reed Avenue, Clayton, Alabama 36016",(334) 397-4242
Collinsville Funeral Home,"1411 Blue Spring St, Clio, Alabama 36017",(256) 524-2131
Bolton-Brown Service Funeral Home,"109 S Valley Rd, Collinsville, Alabama 35961",(205) 669-3179
Crossville Memorial Chapel,"207 Highway 47 S, Columbiana, Alabama 35051",(256) 528-2500
Moss Service Funeral Home,"13812 Al Highway 68, Crossville, Alabama 35962",(256) 734-1821
Alabama Funeral Homes,"1901 2nd Ave NW, Cullman, Alabama 35055",(256) 896-4502
Bayview Funeral Home - Daphne-Spanish Fort Chapel,"Hwy 280, Dadeville, Alabama 36853",(251) 626-1413
DFS Memorials Mobile,"27409 US Highway 98, Daphne, Alabama 36526",(251) 206-5572
Hughes Funeral Home & Crematory,"7951 American WayÊ, Daphne, Alabama 36527",(251) 206-5572
Wolfe Funeral Home & Crematory Inc,"7951 American WayÊ, Daphne, Alabama 36527",(251) 625-2900
Reynolds Funeral Home,"28720 US Highway 98, Daphne, Alabama 36526",(256) 353-6602
Ridout's Brown-Service Funeral Home,"103 13th Ave, Decatur, Alabama 35601",(256) 353-1511
Roselawn Funeral Home & Cemetery,"711 Memorial Drive Sw, Decatur, Alabama 35601",(256) 353-2996
Roselawn Funeral Home and Cemetery,"741 Danville Rd SW, Decatur, Alabama 35601",(256) 353-1602
Sharpley Funeral Home,"709 Memorial Drive SW, Decatur, Alabama 35601",(256) 353-6413
Shelton Funeral Home Inc,"410 Railroad St Nw, Decatur, Alabama 35601",(256) 353-1620
Kidd-Robbins Funeral Directors,"1701 Beltline Rd Sw, Decatur, Alabama 35601",(334) 289-1122
Larkin & Scott Mortuary,"651 Hwy 80 W, Demopolis, Alabama 36732",(334) 289-3236
New Horizon Memorial Funeral Home Inc,"510 E Jefferson St, Demopolis, Alabama 36732",(205) 648-2323
Allen Funeral Home,"5203 Hollis Goodwin Rd, Dora, Alabama 35062",(334) 794-6759
Byrd Funeral Home,"1039 N Range St, Dothan, Alabama 36303",(334) 793-3003
Hammond & Son Funeral Home,"3409 W Main St, Dothan, Alabama 36305",(334) 792-7913
Kent-Thornton-Meadows Funeral Home,"586 E Burdeshaw St, Dothan, Alabama 36303",(334) 793-1117
Levite Funeral Home,"1468 Hartford Hwy, Dothan, Alabama 36301",(334) 794-5036
Memory Chapel Funeral Home,"814 Headland Ave, Dothan, Alabama 36303",(334) 792-7051
Southern Heritage Funeral Home,"1625 Montgomery Hwy, Dothan, Alabama 36303",(334) 702-1712
Varner Memorial Funeral Home,"1000 Hodgesville Rd, Dothan, Alabama 36301",(334) 671-1455
Ward-Wilson Memory Hill Funeral Home,"210 Montana St, Dothan, Alabama 36303",(334) 792-4194
Chapman Funeral Home,"965 Woodland Dr, Dothan, Alabama 36301",(334) 687-3514
Jaxon J J Company Inc,"100 Fair St, Eufaula, Alabama 36027",(334) 687-8031
Kent Funeral Home,"118 N Orange Ave, Eufaula, Alabama 36027",(334) 687-5725
Sanford's Memorial Chapel,"3121 S Eufaula Ave, Eufaula, Alabama 36027",(334) 687-6900
White Mrs Colonel & Sons Funeral Home,"549 S Randolph Ave, Eufaula, Alabama 36027",(334) 687-3495
Gandy Funeral Home,"441 East Barbour Street, Eufaula, Alabama 36027",(205) 372-4493
McInnis Mortuary,"Hwy 14 Clinton Rd, Eutaw, Alabama 35462",(205) 372-9328
Kirksey's Mortuary,"230 Demopolis Road, Eutaw, Alabama 35462",(205) 780-1919
Scott-McPherson Funeral Home Inc,"205 49th Street, Fairfield, Alabama 35064",(205) 780-1834
Fairhope Funeral Home & Crematory Inc,"4000 Richard M Scrushy Parkway, Fairfield, Alabama 35064",(251) 928-9555
Wolfe Funeral Home & Crematory Inc,"19698 Greeno Rd, Fairhope, Alabama 36532",(251) 990-7775
Flomaton Brown Service Funeral Home Inc,"329 S Greeno Rd, Fairhope, Alabama 36532",(251) 296-2496
Elkins Funeral Home,"1811 State Line Rd, Flomaton, Alabama 36441",(256) 764-0221
Greenhill Funeral Home,"PO Box 1011, Florence, Alabama 35631",(256) 757-0160
Greenview Memorial Chapel & Funeral Home,"8450 Highway 43, Florence, Alabama 35634",(256) 764-2411
Shelton-Saint's Funeral Home Inc,"3657 Old Chisholm Rd, Florence, Alabama 35633",(256) 767-0776
Spry Serenity Chapel,"1001 Pruitt St, Florence, Alabama 35630",(256) 764-6401
Thompson & Son Funeral Home,"1950 Helton Drive, Florence, Alabama 35630",(256) 764-2651
Burt Funeral Homes Inc,"415 S Poplar St, Florence, Alabama 35630",(256) 845-3232
Wilson Funeral Home,"2100 Gault Ave N, Fort Payne, Alabama 35967",(256) 845-9150
Adams & Buggs Funeral Home,"3801 Gault Ave N, Fort Payne, Alabama 35967",(256) 546-0432
Collier-Butler Funeral Home,"401 N 9th St, Gadsden, Alabama 35901",(256) 543-2140
Crestwood Memorial Funeral Home,"824 Rainbow Dr, Gadsden, Alabama 35901",(256) 492-5544
Gadsden Memorial Funeral Home,"2209 E Broad St, Gadsden, Alabama 35903",(256) 492-4366
Village Chapel Funeral Home,"1318 E Broad St, Gadsden, Alabama 35903",(256) 547-5557
Watson & Sons Funeral Home,"101 Vandell Blvd, Gadsden, Alabama 35904",(256) 547-2537
Wellman & Sons Funeral Home,"562 W Meighan Blvd, Gadsden, Alabama 35901",(256) 543-2002
West Gadsden Funeral Home,"901 Tuscaloosa Ave, Gadsden, Alabama 35901",(256) 549-0004
Oakwood Memorial Gardendale Chapel,"2118 Forrest Avenue, Gadsden, Alabama 35904",(205) 631-6252
Bottoms Garden Chapel Funeral Homes,"2229 Decatur Highway, Gardendale, Alabama 35071",(334) 684-2982
Peaceful Memorial Chapel,"209 S Choctaw St, Geneva, Alabama 36340",(334) 684-7225
Pittman Funeral Homes Co Inc,"690 Hwy E 52, Geneva, Alabama 36340",(334) 684-2600
Sorrells Funerals Home,"203 S Commerce St, Geneva, Alabama 36340",(334) 684-9999
Johnson Funeral Home,"2744 W Magnolia Ave, Geneva, Alabama 36340",(334) 376-2500
Harris Funeral Home,"PO Box 617, Georgiana, Alabama 36033",(256) 659-4050
Phillips Funeral Home,"11968 Alabama Hwy 227, Geraldine, Alabama 35974",(251) 843-5290
Village Chapel East Funeral Home,"116 West Main Street, Gilbertown, Alabama 36908",(256) 492-5550
Grant Memorial Chapel,"1901 Piedmont Cutoff, Glencoe, Alabama 35903",(256) 728-2000
Dunklin-Herndon Funeral Home,"4930 Main St, Grant, Alabama 35747",(334) 382-2667
Harrison Funeral Home,"812 W Commerce St, Greenville, Alabama 36037",(334) 382-6621
Herbert James Funeral Home,"319 Greenville Byp, Greenville, Alabama 36037",(334) 382-3756
Hudson Funeral Home,"132 W Parmer St, Greenville, Alabama 36037",(334) 382-3202
Lathan Funeral Home,"620 W Commerce St, Greenville, Alabama 36037",(251) 275-3854
Norwood Funeral Homes,"Highway 43, Grove Hill, Alabama 36451",(205) 468-3323
Carr Funeral Home,"7195 Us Hwy 43, Guin, Alabama 35563",(256) 582-3411
Guntersville Meml Chapel Funeral Home & Crmtry,"1960 Obrig Ave, Guntersville, Alabama 35976",(256) 582-7931
Nichols Funeral Homes,"1601 Henry St, Guntersville, Alabama 35976",(205) 486-2204
Pinkard Funeral Homes Inc,"1607 11th Ave S, Haleyville, Alabama 35565",(205) 486-7662
Hamilton Funeral Home Inc,"1308 21 St Hwy 195, Haleyville, Alabama 35565",(205) 921-3197
Nichols Memory Chapel,"150 Falcon Circle, Hamilton, Alabama 35570",(205) 921-5777
Bottoms Garden Chapel Funeral Homes,"3325 Bexar Ave E, Hamilton, Alabama 35570",(334) 588-3250
Hartford Heritage Funeral Home,"Hartford & Slocomb Hwy 52, Hartford, Alabama 36344",(334) 588-2230
Peck Funeral Home,"507 West Main Street, Hartford, Alabama 36344",(256) 773-2541
Bell Funeral Home,"1600 Hwy 31 Sw, Hartselle, Alabama 35640",(334) 548-5122
Gallant Funeral Home,"228 Tuskeena St, Hayneville, Alabama 36040",(256) 828-0035
The Good Earth Burial Ground & Funeral Services,"13921 Hwy 231 431 N, Hazel Green, Alabama 35750",(256) 655-2170
Holman-Headland Mortuary Inc,"1955 Carter Grove, Hazel Green, Alabama 35750",(334) 693-3371
Dryden Funeral Home Inc,"305 Main St, Headland, Alabama 36345",(256) 463-2287
Kerby Funeral Home LLC,"774 Ross St, Heflin, Alabama 36264",(256) 657-3238
Jefferson Memorial Funeral Home,"17554 Al Hwy 75, Henagar, Alabama 35978",(205) 987-0068
Brooks Family Funeral Home,"2701 Hwy 150, Hoover, Alabama 35244",(205) 206-7785
Patterson Funeral Home,"2885 Allison Bonnett Memorial Dr, Hueytown, Alabama 35023",(205) 491-3389
Berryhill Funeral Home & Crematory,"1011 Brooklane Dr Ste G, Hueytown, Alabama 35023",(256) 536-9197
Laughlin Service Funeral Home Inc,"2305 N Memorial Pkwy, Huntsville, Alabama 35810",(256) 534-2471
Nelms Memorial Funeral Home,"2320 Bob Wallace Ave Sw, Huntsville, Alabama 35805",(256) 539-8189
Royal Funeral Home Inc,"2501 Carmichael Ave Nw, Huntsville, Alabama 35816",(256) 534-8481
Spry Funeral Home & Crematory,"4315 Oakwood Ave Nw, Huntsville, Alabama 35810",(256) 536-6654
Twickenham Funeral Home South,"2411 Memorial Pkwy Nw, Huntsville, Alabama 35810",(256) 883-6010
Valhalla Funeral Home,"11611 S Memorial Pkwy Sw, Huntsville, Alabama 35803",(256) 852-8500
Stovall Funeral Home,"698 Winchester Rd NE, Huntsville, Alabama 35811",(334) 667-7679
Corner Stone Funeral Chapel Inc,"605 Main St, Hurtsboro, Alabama 36860",(256) 657-4003
Lathan Funeral Home - Chatom,"40 Corner Stone Dr, Ider, Alabama 35981",(251) 246-2363
Brown K L Funeral Home & Cremation Cntr,"PO Box 361, Jackson, Alabama 36545",(256) 435-7042
Kilgore-Green Funeral Home,"322 Nisbet St Nw, Jacksonville, Alabama 36265",(205) 384-9503
Elkins East Chapel,"1200 Birmingham Ave, Jasper, Alabama 35501",(256) 757-2144
Bluffton Funeral Services,"PO Box 340, Killen, Alabama 35645",(334) 644-9448
Morgan's Funeral Home,"1011 N. Lanier Avenue, Lanett, Alabama 36863",(334) 644-4064
Kilgroe Funeral Home,"418 N 12th Avenue, Lanett, Alabama 36863",(205) 699-3181
Leeds-Unity Funeral Service,"1651 Ashville Road Ne, Leeds, Alabama 35094",(205) 699-7600
Abernathy Funeral Home,"229 Parkway Dr Sw, Leeds, Alabama 35094",(334) 295-5252
O'Bryant Chapel Of Linden,"208 Martin Luther King Drive, Linden, Alabama 36748",(334) 295-9300
Benefield Funeral Home Inc,"400 West Cahaba Avenue, Linden, Alabama 36748",(256) 396-2888
McInnis Mortuary,"89076 Hwy 9, Lineville, Alabama 36266",(205) 652-9138
Central Funeral Service,"110 Marshall St, Livingston, Alabama 35470",(334) 266-5261
Legacy Chapel,"70 Hwy 130, Louisville, Alabama 36048",(256) 325-5011
Madison Chapel Funeral Home,"16 Hughes Road, Madison, Alabama 35758",(256) 895-9900
Valhalla Funeral Home,"8521 Hwy 72 W, Madison, Alabama 35758",(205) 425-9898
Sunset Memorial Park,"5317 Bessemer Super Hwy, Midfield, Alabama 35228",334-983-6604
Brookside Funeral Home & Memorial Gardens,"1808 Barrington Road, Midland City, Alabama 36350",(334) 285-7442
Dowdle Funeral Home,"3360 Brookside Dr, Millbrook, Alabama 36054",(205) 662-4830
Christian Memorial Funeral Homes Inc,"270 McAdams St, Millport, Alabama 35576",(251) 846-2076
Phillips Funeral Home,"134 Dr Martin Luther King Ave, Millry, Alabama 36558",251-846-6200
Ascension Funeral Home,"30034 Highway 17, Millry, Alabama 36558",251-634-8055
Catholic Cemetery,"1016 Hillcrest Road, Mobile, Alabama 36695",(251)   479-5305
Christian Benevolent Funeral,"1700 Drive Martin L King Jr Avenue, Mobile, Alabama 36695",251-432-6528
DFS Memorials - Mobile,"201 N Hamilton Street, Mobile, Alabama 36603",251-206-5572
Gilmer's Funeral Service,"7951 American Way, Mobile, Alabama 36526",251-639-1272
Johnson-Allen Mortuary,"690 Zeigler Circle West, Mobile, Alabama 36608",251-433-2574
Mobile Memorial Gardens Funeral Home,"600 Chestnut Street, Mobile, Alabama 36603",251-661-7700
Pine Crest Cemetery-Funeral Home,"6040 Three Notch Road, Mobile, Alabama 36619",251-478-5227
Pine Crest Funeral Home and Cemetery,"1939 Dauphin Island Parkway, Mobile, Alabama 36605",(251) 478-5227
Radney Funeral Home,"1939 Dauphin Island Pkwy, Mobile, Alabama 36605",251-479-4547
Radney Funeral Home Inc,"3155 Dauphin Street, Mobile, Alabama 36606",(251) 479-4547
Smalls Mortuary,"3155 Dauphin St, Mobile, Alabama 36606",251-431-0559
Williams Memorial Chapel Funeral Home Inc,"950 S Broad Street, Mobile, Alabama 36603",(251) 867-4304
Johnson Funeral Home Inc,"2353 South Blvd, Mobile, Alabama 36426",(251) 575-3222
Jones-Unity Funeral Home,"1911 S Alabama Ave, Monroeville, Alabama 36460",(251) 575-3192
Monroe Chapel Inc Funeral Home & Cmtry,"866 W Claiborne, Monroeville, Alabama 36460",(251) 575-5200
Penn's Funeral Home,"2252 Highway 84 W, Monroeville, Alabama 36461",(251) 575-4265
Rockco Funeral Home,"290 E Claiborne St, Monroeville, Alabama 36460",(205) 665-2135
The Good Shepherd Funeral Home Inc,"3715 Highway 25, Montevallo, Alabama 35115",(205) 665-1106
Alabama Heritage Funeral Home,"150 White Street, Montevallo, Alabama 35115",(334) 215-0180
Brooks-Cargile Funeral Home,"10505 Atlanta Hwy, Montgomery, Alabama 36117",(334) 271-4404
Errol Gardner Cummings Funeral Home,"3154 Highland Avenue, Montgomery, Alabama 36107",(334) 265-9221
Greenwood Serenity Memorial Gardens,"1120 Bragg St, Montgomery, Alabama 36108",(334) 272-3181
Leak Memory Chapel,"PO Box 3175, Montgomery, Alabama 36109",(334) 272-6501
Lee's Funeral Home,"945 Lincoln Road, Montgomery, Alabama 36109",(334) 265-0756
Phillips-Riley Funeral Home,"2020 W Jeff Davis Ave, Montgomery, Alabama 36108",(334) 263-0477
Ross-Clayton Funeral Home Inc,"2284 W Fairview Ave, Montgomery, Alabama 36108",(334) 262-3889
West Montgomery Mortuary Service,"1412 Adams Ave, Montgomery, Alabama 36104",(334) 265-9985
Elliott Funeral Home,"3500 Mobile Hwy, Montgomery, Alabama 36108",(256) 974-0621
Lawrence Funeral Home,"15215 Court St, Moulton, Alabama 35650",(256) 974-0685
Oakhill Funeral Home,"12950 Alabama Hwy 157, Moulton, Alabama 35650",(205) 371-6868
New Hope Funeral Home Inc,"39750 Alabama Hwy 69 S, Moundville, Alabama 35474",(256) 723-4241
Northport Funeral & Cremation Services Inc.,"2500 Oak Grove Rd, New Hope, Alabama 35760",(205) 750-3140
King's Valley Chapel Funeral Home,"5404 Watermelon Rd, Northport, Alabama 35473",(205) 625-3321
Lemley Funeral Chapel Inc,"1613 2nd Ave E, Oneonta, Alabama 35121",(205) 274-2323
Frederick's Funeral Home,"6878 2nd Ave W, Oneonta, Alabama 35121",(334) 745-4667
Harris Funeral Home,"1801 Frederick Rd, Opelika, Alabama 36801",(334) 749-6583
Jeffcoat-Trant Funeral Home,"515 S 6th St, Opelika, Alabama 36801",(334) 749-8700
Peterson & Williams Funeral Home,"1500 Frederick Rd, Opelika, Alabama 36801",(334) 745-6473
Wyatt Funeral Home,"1016 McCoy Street, Opelika, Alabama 36801",(334) 493-2506
Miller Funeral Home,"1018 Florala Hwy, Opp, Alabama 36467",(256) 831-4611
Fuqua-Bankston Funeral Home,"110 Hamric Dr E, Oxford, Alabama 36203",(334) 774-4551
Holman Funeral Home Inc,"508 Faust Ave, Ozark, Alabama 36360",(334) 774-5348
Ozark Memorial Chapel,"905 South Union Avenue, Ozark, Alabama 36360",(334) 774-1528
Trawick's Ozark Funeral Home,"904 Broad Street, Ozark, Alabama 36361",(334) 774-8374
Southern Heritage Funeral Home,"700 Martin Luther King Jr Avenue, Ozark, Alabama 36360",(205) 988-3511
Kilgroe Funeral Home Inc,"475 Cahaba Valley Rd, Pelham, Alabama 35124",(205) 338-3341
Colonial Funeral Home,"PO Box 1070, Pell City, Alabama 35125",(334) 298-8728
Edgar H Battle Funeral Home Inc,"613 14th Street, Phenix City, Alabama 36867",(334) 298-8800
Striffler-Hamby Mortuary,"1107 2nd Place, Phenix City, Alabama 36867",(334) 298-3634
Sumbry Mortuary,"PO Box 2548, Phenix City, Alabama 36868",(334) 298-1361
Taylor Funeral Home,"418 South Seale Road, Phenix City, Alabama 36867",(334) 298-0364
Vance Memorial Chapel,"1514 5th Ave, Phenix City, Alabama 36867",(334) 298-0668
Folsom Funeral Home,"3738 Hwy 431 N, Phenix City, Alabama 36867",(256) 447-9031
Thompson Funeral Home,"212 Memorial Drive, Piedmont, Alabama 36272",(256) 447-7113
Ridout's Brown-Service Prattville Chapel,"6340 Old Piedmont-Gadsden Highway, Piedmont, Alabama 36272",(334) 365-5982
Deaton Funeral Homes Inc,"347 E Main St, Prattville, Alabama 36067",(256) 356-4907
Reform Memorial Funeral Home,"919 Golden Road, Red Bay, Alabama 35582",(205) 375-6700
Skelton Funeral Home,"610 Us Highway 82, Reform, Alabama 35481",(205) 375-9661
Clark Memorial Funeral Service,"2105 2nd St Sw Hwy 17s, Reform, Alabama 35481",(334) 863-4885
Mack Funeral Home & Crematory,"252 LaFayette Highway, Roanoke, Alabama 36274",(251) 947-7781
Rogersville Funeral Home & Cemetery,"22154 Milwaukee Street, Robertsdale, Alabama 36567",(256) 247-1090
Pittman Funeral Homes Co Inc,"18275 Highway 72, Rogersville, Alabama 35652",(334) 898-7141
Ascension Funeral Group Forest Lawn Memorial Gardens,"731 State Hwy 87, Samson, Alabama 36477",(251) 675-0824
Radney Funeral Home,"9700 Celeste Rd, Saraland, Alabama 36571",(251) 679-0320
Klassic's Memorials,"1200 Industrial Parkway, Saraland, Alabama 36571",(256) 259-3112
J H Williams & Sons Funeral Home,"3501 S Broad St, Scottsboro, Alabama 35769",(334) 874-8231
Lawrence Brown Service Funeral Home Inc,"1226 Minter Avenue, Selma, Alabama 36703",(334) 872-2301
Lewis Bros Funeral Home Inc,"2900 Citizen's Parkway, Selma, Alabama 36701",(334) 875-7212
Millers Funeral Svc,"1140 Minter Avenue, Selma, Alabama 36701",(334) 874-9081
Selma Funeral Home,"608 Saint Phillips St, Selma, Alabama 36703",(334) 872-0110
Walker Mortuary Services,"5171 Al Hwy 22, Selma, Alabama 36701",(334) 874-4444
Valhalla Memorial Funeral Home & Gardens Inc,"1703 Broad Street, Selma, Alabama 36701",(251) 649-1111
Spry Funeral Home-Serenity Chapel,"8730 Sims Road, Semmes, Alabama 36575",(256) 383-0524
Webster Progressive Funeral Home,"501 Broad St, Sheffield, Alabama 35660",(334) 727-2899
Sorrells Funeral Home,"19557 Hwy 80 East, Shorter, Alabama 36075",(334) 886-7777
Snead Funeral Home,"1315 Lawrence Harris Highway, Slocomb, Alabama 36375",(205) 466-5151
Southside Funeral Home,"170 RicHomean Dr, Snead, Alabama 35952",(256) 442-8125
